cve_periodo,cve_institucion,Concentracion,Monto_Acumulado,Participacion_Acumulada
201608,040044,Cliente 110,55601177525,0.6056
201601,040072,Cliente 400,1.29518E+11,0.7003
201610,040012,Cliente 300,2.13364E+11,0.5865
201603,040044,Cliente 500,72064563722,0.8974
201506,040044,Cliente 190,45756554744,0.7135
201510,040044,Cliente 1,4463503806,0.0596
201510,040012,Cliente 6,30315470761,0.0947
201602,040036,Cliente 8,50052170621,0.3112
201610,040044,Cliente 20,27939287004,0.3002
201508,040072,Cliente 50,64407016407,0.3771
201606,040014,Cliente 200,1.27091E+11,0.4963
201510,040044,Cliente 110,46222203509,0.6175
201503,040002,Cliente 300,1.15506E+11,0.6366
201507,040021,Cliente 150,83706865157,0.7075
201603,040012,Cliente 60,1.21038E+11,0.3544
201503,040012,Cliente 100,1.26455E+11,0.4368
201511,040036,Cliente 120,1.29306E+11,0.9165
201505,040044,Cliente 150,41442832735,0.6665
201503,040072,Cliente 90,76593989181,0.4511
201612,040072,Cliente 2,7947709177,0.0383
201606,040012,Cliente 1,7524207500,0.0209
201504,040072,Cliente 19,36073259818,0.2136
201504,040002,Cliente 80,73351150025,0.4088
201508,040036,Cliente 19,83203343743,0.5444
201601,040072,Cliente 110,95606117860,0.517
201510,040012,Cliente 70,1.17642E+11,0.3673
201602,040014,Cliente 18,55905613769,0.2212
201602,040012,Cliente 300,2.07792E+11,0.6093
201607,040012,Cliente 400,2.37466E+11,0.6452
201610,040012,Cliente 60,1.20161E+11,0.3303
201502,040021,Cliente 500,1.1216E+11,0.8985
201605,040044,Cliente 110,50740106182,0.6018
201606,040036,Cliente 11,67056038506,0.4197
201502,040014,Cliente 2,11293074693,0.0522
201505,040044,Cliente 90,34503909544,0.5549
201510,040036,Cliente 19,81999149982,0.5754
201610,040021,Cliente 500,1.22496E+11,0.8986
201604,040002,Cliente 70,72220405497,0.3645
201504,040072,Cliente 50,60816791715,0.3602
201609,040021,Cliente 17,31816208294,0.2339
201606,040072,Cliente 110,97198270566,0.515
201604,040072,Cliente 160,1.03587E+11,0.563
201508,040044,Cliente 6,10910866306,0.1606
201610,040021,Cliente 100,83269109908,0.6108
201511,040044,Cliente 300,61748292668,0.8162
201603,040072,Cliente 170,1.08851E+11,0.5839
201601,040072,Cliente 20,46054054369,0.249
201608,040021,Cliente 110,82865233612,0.6263
201510,040014,Cliente 2,13480452114,0.0567
201502,040036,Cliente 190,1.32168E+11,0.9487
201503,040014,Cliente 4,16594548567,0.0755
